Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C19, C24, C25, C27, C3, C31, C32, C34, C51",0603,11,10u,C96446
"C10, C11, C12, C55, C7",0805,5,22u,C45783
"C13, C17, C18, C20, C21, C26, C28, C29, C30, C33, C39, C43, C44, C45, C46, C48, C5, C52, C53, C54, C56, C57, C6",0402,23,100n,C307331
"C15, C16, C2, C4",0402,4,2.2u,C12530
"C22, C23, C40, C41",0402,4,10n,C15195
C35,0402,1,4.7n,C1538
"C36, C37, C49, C50, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89",0402,36,1u,C52923
C38,0402,1,1n,C1523
C42,0402,1,100p,C1546
C47,0402,1,47p,C1567
"C8, C9",0402,2,22p,C1555
CN1,MX126-5.0-02P-GN01-Cu-S-A,1,~,C5188434
D1,SMF20CA,1,~,C42371747
"D2, D3, D4",0805,3,LED,C84256
"R1, R10, R11, R17, R18, R19, R2, R23, R24, R3, R4, R5, R6, R7, R8, R9",0805,16,100, C17408
"R12, R13, R25, R26, R27, R76",0402,6,10k,C25744
"R14, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75",0402,33,100k,C25741
"R15, R16",0402,2,2.2k, C25879
R20,0402,1,1k,C11702
"R21, R22",0402,2,5.1k, C25905
"R28, R29, R30, R31, R32, R33, R34, R35, R52, R53, R54, R55, R56, R57, R58, R59",0603,16,220k, C22961
U1,ADAU1452WBCPZ-RL,1,ADAU1452,C462188
U10,GT-USB-7010ASV,1,~,C2988369
"U11, U12, U13, U14, U15, U16, U8, U9",PJ-320D,8,~,C22459515
U17,ESP32-S3-WROOM-1U-N8,1,~,C3013946
"U18, U19, U7",YTS1C0033BBG01,3,~,C5188566
"U2, U3",AK4619VN,2,~,C3034747
"U20, U21, U22, U23",LM324DT,4,~,C71035
U4,K7803M-1000R3,1,~,C22749779
U5,AMS1117-1.2,1,AMS1117-1.2,C2992568
U6,ADM811TARTZ-REEL7,1,~,C462205
X1,S47SMD12.288M20PF20R30B3,1,12.288MHz,C5346044
